SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,Unclassified
SRR11487933,18,0.9123,0.0209,8.2001,0.8123,0.0335,100.0,3.2842,wgsa2,0.001,hilo,
SRR11487934,20,0.9111,0.0191,8.9926,0.809,0.0326,100.0,3.4437,wgsa2,0.001,hilo,
SRR11487935,18,0.9156,0.0204,8.0002,0.8162,0.0328,100.0,3.3552,wgsa2,0.001,hilo,
SRR11487931,22,0.3714,0.0366,11.312,0.5973,0.0713,93.75,11.9419,woltka,0.001,hilo,
SRR11487932,22,0.3528,0.0374,11.3336,0.5889,0.073,93.75,12.1251,woltka,0.001,hilo,
SRR11487933,21,0.3534,0.0385,11.0132,0.596,0.0735,93.75,11.7257,woltka,0.001,hilo,
SRR11487934,21,0.3698,0.0378,11.0253,0.6027,0.0723,93.75,11.5662,woltka,0.001,hilo,
SRR11487935,21,0.3607,0.038,11.0004,0.6006,0.0728,93.75,11.6542,woltka,0.001,hilo,
S1,8,0.0127,0.1772,11.4763,0.2912,0.2573,62.5,0.0,biobakery3,0.01,bmock12,
S1,9,0.9054,0.0304,5.4066,0.8631,0.0463,75.0,1.1781,biobakery4,0.01,bmock12,
S1,9,0.9957,0.0061,3.2602,0.9724,0.0076,87.5,1.1392,jams,0.01,bmock12,
S1,9,0.4992,0.0526,5.7639,0.7633,0.0897,87.5,0.0,wgsa2,0.01,bmock12,
S1,8,0.6766,0.1425,5.2155,0.43,0.2234,87.5,0.0,woltka,0.01,bmock12,
S1,8,0.0127,0.1772,11.4763,0.2912,0.2573,62.5,0.0,biobakery3,0.0001,bmock12,0.0
S1,9,0.9054,0.0304,5.4066,0.8631,0.0463,75.0,1.1781,biobakery4,0.0001,bmock12,0.0
S1,16,0.9967,0.0044,7.0785,0.9649,0.0062,87.5,1.5896,jams,0.0001,bmock12,0.0068128299123379
S1,59,0.6944,0.0082,10.7357,0.7567,0.0346,87.5,2.094,wgsa2,0.0001,bmock12,0.221606053327923
S1,56,0.6253,0.0204,10.1823,0.4276,0.08,87.5,4.048,woltka,0.0001,bmock12,0.0
S1,8,0.0127,0.1772,11.4763,0.2912,0.2573,62.5,0.0,biobakery3,0.001,bmock12,
S1,9,0.9054,0.0304,5.4066,0.8631,0.0463,75.0,1.1781,biobakery4,0.001,bmock12,
