Species,RA,TAX_ID
Oscillibacter,6.326610975267643e-07,459786
Caldalkalibacillus,6.326610975267643e-07,379065
Caenibacillus,6.326610975267643e-07,1940395
Marinagarivorans,6.326610975267643e-07,1792291
Marinimicrobium,6.326610975267643e-07,359337
Oligella,6.326610975267643e-07,90243
Agrobacterium,6.326610975267643e-07,357
Algoriphagus,6.326610975267643e-07,246875
Sphingobacterium,6.326610975267643e-07,28453
Xenophilus,6.326610975267643e-07,151754
Oceanobacter,6.326610975267643e-07,196079
Xylella,6.326610975267643e-07,2370
Pelobacter,5.272175812723036e-07,18
Halothiobacillus,5.272175812723036e-07,109262
Paracoccus,5.272175812723036e-07,265
Lachnobacterium,5.272175812723036e-07,140625
Nesiotobacter,5.272175812723036e-07,500577
Azovibrio,5.272175812723036e-07,146935
Crenobacter,5.272175812723036e-07,1654931
Eggerthia,5.272175812723036e-07,1279384
Castellaniella,5.272175812723036e-07,359336
Aureispira,5.272175812723036e-07,365032
Anaplasma,5.272175812723036e-07,768
Candidatus Blochmannia,5.272175812723036e-07,203804
Candidatus Izimaplasma,5.272175812723036e-07,1912503
Candidatus Thiosymbion,5.272175812723036e-07,1907535
Intestinibacter,5.272175812723036e-07,1505657
Salinimonas,5.272175812723036e-07,288793
Limnohabitans,5.272175812723036e-07,665874
Piscibacillus,5.272175812723036e-07,420644
Methylococcus,5.272175812723036e-07,413
Aquitalea,5.272175812723036e-07,407217
Sulfitobacter,5.272175812723036e-07,60136
Marinococcus,5.272175812723036e-07,1370
Selenomonas,5.272175812723036e-07,970
Chitiniphilus,5.272175812723036e-07,585890
Kineococcus,5.272175812723036e-07,33981
Chitinilyticum,5.272175812723036e-07,551208
Finegoldia,5.272175812723036e-07,150022
Chryseobacterium,5.272175812723036e-07,59732
Neptuniibacter,4.7449582314507325e-07,459520
Thermoflavimicrobium,4.7449582314507325e-07,292636
Epulopiscium,4.217740650178429e-07,2383
Halodesulfovibrio,4.217740650178429e-07,1912771
Carnimonas,4.217740650178429e-07,64322
Polaromonas,4.217740650178429e-07,52972
Paludibacterium,4.217740650178429e-07,400060
Limnobacter,4.217740650178429e-07,131079
Microvirgula,4.217740650178429e-07,57479
Ferriphaselus,4.217740650178429e-07,1443590
Methyloversatilis,4.217740650178429e-07,378210
Ideonella,4.217740650178429e-07,36862
Succinimonas,4.217740650178429e-07,83768
Actinobaculum,4.217740650178429e-07,76833
Candidatus Phytoplasma,4.217740650178429e-07,33926
Caloramator,4.217740650178429e-07,44258
Fischerella,4.217740650178429e-07,1190
Desulfitibacter,4.217740650178429e-07,293136
Candidatus Mikella,4.217740650178429e-07,1906660
Levyella,4.217740650178429e-07,1715798
Candidatus Hoaglandella,4.217740650178429e-07,1906659
Ectothiorhodospira,4.217740650178429e-07,1051
Chelonobacter,4.217740650178429e-07,658623
Geoalkalibacter,4.217740650178429e-07,392332
Negativicoccus,4.217740650178429e-07,909928
Filifactor,4.217740650178429e-07,44259
Nitrosomonas,4.217740650178429e-07,914
Thalassospira,4.217740650178429e-07,168934
Wigglesworthia,4.217740650178429e-07,51228
Oleiagrimonas,4.217740650178429e-07,1649642
Bacteroides,4.217740650178429e-07,816
Alloiococcus,4.217740650178429e-07,1651
Sulfuritalea,4.217740650178429e-07,1054211
Rhodanobacter,4.217740650178429e-07,75309
Salinisphaera,4.217740650178429e-07,180541
Alkanindiges,4.217740650178429e-07,222991
Rhodospirillum,4.217740650178429e-07,1081
Sediminibacillus,4.217740650178429e-07,482460
Sphingomonas,4.217740650178429e-07,13687
Sulfurivirga,4.217740650178429e-07,364031
Haliea,4.217740650178429e-07,475794
Methylomarinum,4.217740650178429e-07,1221209
Prochlorococcus,4.217740650178429e-07,1218
Youngiibacter,4.217740650178429e-07,1408818
Leptolyngbya,4.217740650178429e-07,47251
Persicobacter,4.217740650178429e-07,59740
Beggiatoa,4.217740650178429e-07,1021
Roseomonas,4.217740650178429e-07,125216
Actinoplanes,3.690523068906125e-07,1865
Leucobacter,3.690523068906125e-07,55968
Devosia,3.690523068906125e-07,46913
Chitinibacter,3.1633054876338215e-07,230666
Candidatus Berkiella,3.1633054876338215e-07,1755683
Acidihalobacter,3.1633054876338215e-07,1765964
Caballeronia,3.1633054876338215e-07,1827195
Rufibacter,3.1633054876338215e-07,1379908
Andreprevotia,3.1633054876338215e-07,397275
Asanoa,3.1633054876338215e-07,195964
Desulfonatronum,3.1633054876338215e-07,66848
Labilibacter,3.1633054876338215e-07,1849718
Luteibacter,3.1633054876338215e-07,242605
Leptospirillum,3.1633054876338215e-07,179
Thermoanaerobacter,3.1633054876338215e-07,1754
Rodentibacter,3.1633054876338215e-07,1960084
Pacificibacter,3.1633054876338215e-07,1042323
Cycloclasticus,3.1633054876338215e-07,34067
Nitrosospira,3.1633054876338215e-07,35798
Pseudobacteroides,3.1633054876338215e-07,1486726
Pseudanabaena,3.1633054876338215e-07,1152
Aquisalimonas,3.1633054876338215e-07,406099
Xylophilus,3.1633054876338215e-07,54066
Bdellovibrio,3.1633054876338215e-07,958
Tepidanaerobacter,3.1633054876338215e-07,499228
Alicycliphilus,3.1633054876338215e-07,201096
Kushneria,3.1633054876338215e-07,504090
Aphanizomenon,3.1633054876338215e-07,1175
Weeksella,3.1633054876338215e-07,1013
Candidatus Endolissoclinum,3.1633054876338215e-07,1263978
Parvimonas,3.1633054876338215e-07,543311
Candidatus Ishikawaella,3.1633054876338215e-07,409304
Calothrix,3.1633054876338215e-07,1186
Megamonas,3.1633054876338215e-07,158846
Oxalobacter,3.1633054876338215e-07,846
Cytophaga,3.1633054876338215e-07,978
Methylosarcina,3.1633054876338215e-07,160800
Christensenella,3.1633054876338215e-07,990721
Thiolapillus,3.1633054876338215e-07,1608298
Limnochorda,3.1633054876338215e-07,1676651
Lacticigenium,3.1633054876338215e-07,633405
Methylogaea,3.1633054876338215e-07,1295378
